priority,key,type,OAG codes,held?,2025 sectors,carriers,OAG med seats,OAG med prem,OAG med km,OAG max km,cells left,econ_seats,bus_seats,mtow_kg,range_km,fuel_burn_kg_per_bh,burn basis (block/trip/cruise),cargo_cap_kg,maint_per_bh,crew_per_bh,ownership_per_bh,annual_util_bh,price_usd,current market value USD,value: age or build year,monthly lease USD,lease: age or build year,condition assumed (half-life / full-life),source,source date,notes,existing Avia provenance,status,burn_basis_resolved,flags
38,SU95,Sukhoi Superjet 100-95,SU9,MISSING,147017,9,100,0,1064,4205,17,NOT FOUND (searched 29 August 2026: no manufacturer planning document publicly available),,45880,5645,,,NOT FOUND (searched 29 August 2026: no manufacturer planning document publicly available),,,,,,,,,,,"https://skybrary.aero/aircraft/su95 (SKYbrary, EUROCONTROL-run), retrieved 29 August 2026",2026-08-29,"MTOW and range from SKYbrary indicative data; range converted from 3,048 NM at 1.852. Seats given only as a 75-95 seat category, so no configured count is recorded. Manufacturer documentation is not publicly available.",,new-sourced,,
60,AN24,Antonov AN-24,AN4,MISSING,27887,10,48,0,726,1859,17,NOT FOUND (searched 29 August 2026: no manufacturer planning document publicly available),,21000,3148,,,NOT FOUND (searched 29 August 2026: no manufacturer planning document publicly available),,,,,,,,,,,"https://skybrary.aero/aircraft/an24 (SKYbrary, EUROCONTROL-run), retrieved 29 August 2026",2026-08-29,"MTOW and range from SKYbrary indicative data; range converted from 1,700 NM at 1.852. Production ceased 1978 (Ukraine); no manufacturer planning document publicly available.",,new-sourced,,
62,SW4,Fairchild Sa26 /Sa226 /Sa227 Merlin /M,SWM,MISSING,26287,6,19,0,275,1057,17,19,,7257,1065,,,NOT FOUND (searched 29 August 2026: no manufacturer planning document publicly available),,,,,,,,,,,"https://skybrary.aero/aircraft/sw4 (SKYbrary, EUROCONTROL-run), retrieved 29 August 2026",2026-08-29,"MTOW, range and the 19-seat configuration from SKYbrary; range converted from 575 NM at 1.852.",,new-sourced,,
55,F100,Fokker 100,100,MISSING,36262,11,100,0,612,2007,13,119,0,43090,2700,,,,,,,,,,,,,,http://www.fokker-aircraft.info/f100general.htm,2026-08-14 00:00:00,,,new-sourced,,
65,B736,Boeing 737-600 Passenger,736,MISSING,22958,2,102,16,1015,3692,13,148,0,65544,5648,,,,,,,,,,,,,,https://www.boeing.com/content/dam/boeing/v2/airports/acaps/737NG_REV_C.pdf,2026-08-14 00:00:00,Seats as stated in Boeing airport planning manual,,new-sourced,,
30,E295,Embraer 195 E2,295,MISSING,205210,12,132,0,871,4519,12,108,12,61500,5556,,,4930,,,,,,,,,,,See below,2026-08-10 00:00:00,,,new-sourced,,
36,DHC6,DHvilld-Bombardier DHC6 T/Otter,DHT,MISSING,177249,38,19,0,119,2869,12,19,0,5670,1480 (0 payload),,,363,,,,,,,,,,,https://www.vikingair.com/sites/default/files/documents/Twin%20Otter%20Series%20400%20Multi-Page%20Brochure.pdf - cross checked with EASA manual; no new info found in the latter,2026-08-12 00:00:00,Refers to the -400,,new-sourced,,
41,A35K,Airbus A350-1000,351,MISSING,104556,9,334,46,7839,14526,12,315,54,322000,16480,,,14400,,,,,,,,,,,https://www.aircraft.airbus.com/sites/g/files/jlcbta126/files/2024-06/AC_A350_0524.pdf,2026-08-13 00:00:00,Seats as stated in Airbus airport planning manual,,new-sourced,,
48,B190,Beechcraft 1900D Airliner,"BE1, BEH",MISSING,81933,14,19,0,246,977,12,19,0,7764,707,,,739,,,,,,,,,,,"FAA TCDS A24CE via NZ CAA Type Acceptance Report TAR 98/07 Rev.1, 10 March 2022, aviation.govt.nz, retrieved 29 August 2026",2026-08-13 00:00:00,"MTOW 17,120 lb (7,765 kg) and 19 passengers per the TCDS-validated report, confirming the figures entered 13 August; range and cargo figures await Stefan's original source, query on his return.",,new-sourced,,
49,CRJ1000,Canadair (Bombardier) Regional Jet 100,CRK,MISSING,71850,4,100,0,512,2028,12,100,0,41640,3056,,,3257,,,,,,,,,,,https://web.archive.org/web/20211105153719/https://mhirj-preview-files.s3-us-west-2.amazonaws.com/mhirj/2020-12/MHIRJ_CRJ1000_Factsheet_En_V1_web.pdf,2026-08-12 00:00:00,,,new-sourced,,
